     5
  3    .415   -.082   -.889    .140
  4   -.376    .085    .816    .140
  5    .251   -.048   -.530    .140
  6   -.173    .031    .371    .140
     6
  1   2.127  -1.151  -3.420    .140
  2  -2.039   1.222   3.163    .140
  3   -.129    .066    .198    .140
  4    .054   -.027   -.085    .140
  5  24.153 -12.972 -35.647    .106
  6 -22.493  12.094  33.621   -.106
     6
  1   -.991   1.796   2.761    .140
  2    .860  -1.558  -2.403    .140
  3   -.930   1.646   2.580    .000
  4    .119   -.215   -.336    .140
  5 -12.149  21.554  33.218   -.106
  6  11.589 -20.546 -31.326    .106
     7
  1   5.998    .243   4.214    .140
  2  -2.330   -.071  -1.604    .140
  3    .537    .290   -.909    .140
  4   -.365   -.015   -.255    .140
  5 -36.722  -1.403 -25.403    .106
